Time (ns),Current (nA),Voltage (mV),Energy (uJ)
883780000,162800,3596,1736.9
884773000,162800,3595,1737.7
885632000,162800,3595,1738.1
886886000,162800,3595,1738.9
887745000,162800,3595,1739.3
888738000,162800,3595,1740.1
889597000,162800,3595,1740.5
890591000,162800,3596,1741.3
891705000,162800,3595,1741.7
892699000,162800,3596,1742.5
893558000,162800,3596,1742.9
894551000,162800,3596,1743.2
895408000,162800,3596,1744.1
896657000,162800,3597,1744.4
897522000,162800,3597,1745.2
898514000,162800,3596,1745.6
899373000,162800,3597,1746.4
900367000,162800,3596,1746.8
901480000,162800,3597,1747.6
902472000,162800,3596,1748
903330000,162800,3596,1748.4
904323000,162800,3596,1749.2
905181000,162800,3596,1749.6
906430000,162800,3595,1750.4
907294000,162800,3595,1750.7
908292000,162800,3595,1751.6
909151000,162800,3595,1751.9
910144000,162800,3595,1752.7
911257000,162800,3594,1753.1
912250000,162800,3595,1753.9
913109000,162800,3595,1754.3
914101000,162800,3595,1754.7
914960000,162800,3595,1755.5
916209000,162800,3595,1755.9
917073000,162800,3595,1756.7
918067000,162800,3595,1757.1
918925000,162800,3595,1757.5
919917000,162800,3594,1758.3
921032000,162800,3595,1758.6
922024000,162800,3595,1759.4
922884000,162800,3594,1759.8
923876000,162800,3594,1760.6
924735000,162800,3594,1761
925983000,162800,3594,1761.8
926847000,162800,3594,1762.2
927839000,162800,3594,1763
928698000,162800,3594,1763.4
929691000,162800,3595,1764.2
930805000,162800,3594,1764.6
931798000,162800,3595,1765.4
932656000,162800,3595,1765.8
933650000,162800,3595,1766.1
934508000,162800,3595,1767
